"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "CSS", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"c:\omnora OS\frontend\src\components\seller\AdminOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 272, 0, 0, 7, 20, 299
"c:\omnora OS\frontend\src\components\seller\AdminProductManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 366, 0, 0, 7, 23, 396
"c:\omnora OS\frontend\src\components\seller\AiContentPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 13, 24, 163
"c:\omnora OS\frontend\src\components\seller\AiInsights.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 186, 0, 0, 7, 23, 216
"c:\omnora OS\frontend\src\components\seller\CategoryPicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 2, 8, 109
"c:\omnora OS\frontend\src\components\seller\DomainSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 227, 0, 0, 3, 23, 253
"c:\omnora OS\frontend\src\components\seller\InstallButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"c:\omnora OS\frontend\src\components\seller\MerchantStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 2, 15, 126
"c:\omnora OS\frontend\src\components\seller\PaymentSettingsPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 9, 24, 193
"c:\omnora OS\frontend\src\components\seller\PaymentVerificationQueue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 1, 10, 126
"c:\omnora OS\frontend\src\components\seller\PrintView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 8, 56
"c:\omnora OS\frontend\src\components\seller\ProductEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 543, 0, 0, 26, 44, 613
"c:\omnora OS\frontend\src\components\seller\SellerAnalytics.css", "CSS", 0, 0, 0, 0, 110, 0, 0, 0, 0, 16, 126
"c:\omnora OS\frontend\src\components\seller\SellerAnalytics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 253, 0, 0, 1, 15, 269
"c:\omnora OS\frontend\src\components\seller\SellerAnalyticsDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 12, 23, 217
"c:\omnora OS\frontend\src\components\seller\SellerInventory.css", "CSS", 0, 0, 0, 0, 181, 0, 0, 0, 0, 30, 211
"c:\omnora OS\frontend\src\components\seller\SellerInventory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 286, 0, 0, 1, 15, 302
"c:\omnora OS\frontend\src\components\seller\StoreGenerator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 256, 0, 0, 18, 38, 312
"c:\omnora OS\frontend\src\components\seller\ThermalPrintStyles.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\omnora OS\frontend\src\components\seller\WhatsAppTemplatesPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 9, 26, 169
"c:\omnora OS\frontend\src\components\storefront\CartDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 230, 0, 0, 13, 19, 262
"c:\omnora OS\frontend\src\components\storefront\CustomerProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 350, 0, 0, 9, 35, 394
"c:\omnora OS\frontend\src\components\storefront\OmnoraBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 6, 11, 82
"c:\omnora OS\frontend\src\components\storefront\OmnoraNotification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 0, 8, 105
"c:\omnora OS\frontend\src\components\storefront\ThankYouPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 2, 23, 224
"c:\omnora OS\frontend\src\components\storefront\checkout\CheckoutFlow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 6, 22, 181
"c:\omnora OS\frontend\src\components\storefront\customer\CustomerProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 153, 0, 0, 4, 13, 170
"c:\omnora OS\frontend\src\components\storefront\search\SearchOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 4, 14, 113
"c:\omnora OS\frontend\src\components\superadmin\GodModeDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 5, 13, 134
"c:\omnora OS\frontend\src\components\superadmin\MerchantLedger.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 110, 0, 0, 0, 6, 116
"c:\omnora OS\frontend\src\components\superadmin\SuperAdminRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"c:\omnora OS\frontend\src\components\ui\CinematicLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 4, 6, 66
"c:\omnora OS\frontend\src\components\ui\EmptyState.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\omnora OS\frontend\src\components\ui\FloatingParticles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 3, 7, 76
"c:\omnora OS\frontend\src\components\ui\LayerManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 2, 9, 105
"c:\omnora OS\frontend\src\components\ui\RadixSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 5, 75
"c:\omnora OS\frontend\src\components\ui\RenderPipeline.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 10, 40
"c:\omnora OS\frontend\src\components\ui\RenderPipelineOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 10, 13, 80
"c:\omnora OS\frontend\src\components\useMinimumLoadingTime.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 6, 41
"c:\omnora OS\frontend\src\config\adConfig.json", "JSON", 0, 0, 0, 109, 0, 0, 0, 0, 0, 2, 111
"c:\omnora OS\frontend\src\config\firebase.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 4, 5, 69
"c:\omnora OS\frontend\src\constants.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\omnora OS\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 269, 0, 0, 0, 32, 301
"c:\omnora OS\frontend\src\context\BuilderContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1002, 0, 0, 4, 128, 1134
"c:\omnora OS\frontend\src\context\CustomerAuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 125, 0, 0, 6, 26, 157
"c:\omnora OS\frontend\src\context\MediaStoreContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 8, 14, 117
"c:\omnora OS\frontend\src\context\MerchantAuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 3, 14, 104
"c:\omnora OS\frontend\src\context\OmnoraContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 1, 10, 78
"c:\omnora OS\frontend\src\context\RenderPipelineContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 121, 0, 0, 2, 18, 141
"c:\omnora OS\frontend\src\context\StorefrontContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 422, 0, 0, 10, 55, 487
"c:\omnora OS\frontend\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 1, 13, 62
"c:\omnora OS\frontend\src\context\Toast.css", "CSS", 0, 0, 0, 0, 121, 0, 0, 0, 0, 18, 139
"c:\omnora OS\frontend\src\context\ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 3, 14, 87
"c:\omnora OS\frontend\src\data\fallbackProducts.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 92
"c:\omnora OS\frontend\src\hooks\BindResolver.ts", "TypeScript", 0, 120, 0, 0, 0, 0, 0, 0, 8, 25, 153
"c:\omnora OS\frontend\src\hooks\useBuilderInteractionStore.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 0, 0, 5, 20, 116
"c:\omnora OS\frontend\src\hooks\useCart.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\omnora OS\frontend\src\hooks\useHistory.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 9, 49
"c:\omnora OS\frontend\src\hooks\useImageLoader.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 28, 24, 126
