"filename", "language", "JavaScript", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "CSS", "HTML", "XML", "PowerShell", "MS SQL", "JSON with Comments", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\newsletterRoutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\onboardingRoutes.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 86
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\orderRoutes.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 128
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\paymentMethodRoutes.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 113
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\paymentRoutes.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 25
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\performanceHubRoutes.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 73
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\phase1Routes.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 23, 124
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\phase2Routes.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 104
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\phase3Routes.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 20, 150
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\productRoutes.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\recommendationRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\reviewRoutes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\searchRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\sellerAnalyticsRoutes.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 55
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\sellerRoutes.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\userRoutes.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\webhookRoutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\whatsappTemplateRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 73
"c:\E-Commerce Website (Full) - Copy (3)\backend\routes\wishlistRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\E-Commerce Website (Full) - Copy (3)\backend\scripts\check-env-leaks.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\E-Commerce Website (Full) - Copy (3)\backend\scripts\cleanup-port.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 54
"c:\E-Commerce Website (Full) - Copy (3)\backend\scripts\createAdmin.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 77
