"filename", "language", "PowerShell", "XML", "JSON", "TypeScript", "CSS", "JSON with Comments", "TypeScript JSX", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"f:\E-Commerce Website (Full)\frontend\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 7, 223, 423
"f:\E-Commerce Website (Full)\frontend\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"f:\E-Commerce Website (Full)\frontend\src\pages\OrderConfirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 2, 13, 128
"f:\E-Commerce Website (Full)\frontend\src\pages\OrderDetail.css", "CSS", 0, 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 36, 241
"f:\E-Commerce Website (Full)\frontend\src\pages\OrderDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 6, 17, 193
"f:\E-Commerce Website (Full)\frontend\src\pages\PaymentSuccess.css", "CSS", 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 18, 114
"f:\E-Commerce Website (Full)\frontend\src\pages\PaymentSuccess.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 8, 57
"f:\E-Commerce Website (Full)\frontend\src\pages\Privacy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 5, 56
"f:\E-Commerce Website (Full)\frontend\src\pages\Product.css", "CSS", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 31, 239
"f:\E-Commerce Website (Full)\frontend\src\pages\Product.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 5, 19, 159
"f:\E-Commerce Website (Full)\frontend\src\pages\Profile.css", "CSS", 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 31, 190
"f:\E-Commerce Website (Full)\frontend\src\pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 0, 0, 0, 14, 249
"f:\E-Commerce Website (Full)\frontend\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 4, 14
"f:\E-Commerce Website (Full)\frontend\src\pages\Terms.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"f:\E-Commerce Website (Full)\frontend\src\pages\Wishlist.css", "CSS", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 21, 146
"f:\E-Commerce Website (Full)\frontend\src\pages\Wishlist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 2, 12, 134
"f:\E-Commerce Website (Full)\frontend\src\pages\index.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"f:\E-Commerce Website (Full)\frontend\src\pages\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 13, 19, 122
"f:\E-Commerce Website (Full)\frontend\src\pages\service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 5, 14, 173
"f:\E-Commerce Website (Full)\frontend\src\styles\Animations.css", "CSS", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 22, 117
"f:\E-Commerce Website (Full)\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 7, 32
"f:\E-Commerce Website (Full)\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"f:\E-Commerce Website (Full)\frontend\vercel.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"f:\E-Commerce Website (Full)\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 2, 48
"f:\E-Commerce Website (Full)\package-lock.json", "JSON", 0, 0, 3014, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3015
"f:\E-Commerce Website (Full)\package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"f:\E-Commerce Website (Full)\scripts\check-environment.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\E-Commerce Website (Full)\scripts\start-backend.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\E-Commerce Website (Full)\sitemap.xml", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"f:\E-Commerce Website (Full)\start-dev.ps1", "PowerShell", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 62
"Total", "-", 42, 18, 16187, 231, 3820, 17, 4731, 14581, 433, 798, 1174, 4063, 46095
