"filename", "language", "JSON", "JavaScript", "Markdown", "PowerShell", "XML", "HTML", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraContact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 5, 20, 187
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraFAQ.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 35, 227
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraFAQ.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 5, 18, 146
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OmnoraFinal.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 800, 0, 0, 112, 912
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OrderConfirmation.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 33, 243
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OrderConfirmation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 13, 19, 181
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OrderDetail.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 34, 247
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\OrderDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 11, 23, 265
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\PaymentSuccess.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 20, 146
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\PaymentSuccess.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 9, 62
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Privacy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 46
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Product.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 0, 37, 278
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Product.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 9, 35, 282
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 226, 0, 0, 35, 261
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 7, 21, 294
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 4, 14
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\RoleSelector.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 5, 48
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\SellerDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 377, 23, 36, 436
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\SizeGuide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 5, 83
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Terms.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 6, 51
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Wishlist.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 20, 146
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\Wishlist.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 6, 17, 164
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\builder\BuilderHelpPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 301, 5, 12, 318
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\pages\service.js", "JavaScript", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 173
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\styles\Animations.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 31, 171
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\styles\Home.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 52, 387
"c:\E-Commerce Website (Full) - Copy (3)\frontend\src\styles\collection.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 28, 193
