"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "HTML", "XML", "CSS", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\omnora OS\backend\routes\performanceHubRoutes.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 73
"c:\omnora OS\backend\routes\phase1Routes.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 23, 124
"c:\omnora OS\backend\routes\phase2Routes.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 14, 104
"c:\omnora OS\backend\routes\phase3Routes.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 20, 150
"c:\omnora OS\backend\routes\productRoutes.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\omnora OS\backend\routes\recommendationRoutes.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\omnora OS\backend\routes\reviewRoutes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 27
"c:\omnora OS\backend\routes\searchRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 21
"c:\omnora OS\backend\routes\sellerAnalyticsRoutes.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 55
"c:\omnora OS\backend\routes\sellerRoutes.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 80
"c:\omnora OS\backend\routes\userRoutes.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\omnora OS\backend\routes\whatsappTemplateRoutes.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 73
"c:\omnora OS\backend\routes\wishlistRoutes.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 28
"c:\omnora OS\backend\scripts\check-env-leaks.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\omnora OS\backend\scripts\cleanup-port.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 54
"c:\omnora OS\backend\scripts\createAdmin.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 77
"c:\omnora OS\backend\scripts\precheck.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\omnora OS\backend\scripts\seed-products-remote.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 61
"c:\omnora OS\backend\scripts\seed-remote.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 65
